drink_name,recipe,recipe_url,url_of_image
Pompous Mexican,"['1 (12 ounce) bottle Mexican beer ', '½ (1.5 fluid ounce) jigger full-flavored gin such as Tanqueray or Plymouth ', '3 tablespoons fresh lemon juice ']",https://www.allrecipes.com/recipe/134020/pompous-mexican/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1006234.jpg
Irish Cookie,"['½ ounce Stirrings Chocolate Peppermintini Cocktail Mixer ', '6 ounces Guinness Stout ', '½ ounce Baileys Irish Cream ', '½ ounce Goldschlager ']",https://www.allrecipes.com/recipe/179324/irish-cookie/,/img/icons/generic-recipe.svg
Snail Pale,"['3 gallons water ', '8 ounces crystal malt 60L in a grain bag ', '½ gallon water ', '8 pounds liquid malt extract ', '3 ounces Perle hops ', '2 ounces Willamette hops ', '1 teaspoon Irish moss (carrageen) ', '1 (.25 ounce) envelope instant ale yeast ', '1\u2009½ gallons water ', '4 ounces corn sugar (dextrose) ']",https://www.allrecipes.com/recipe/101923/snail-pale/,/img/icons/generic-recipe.svg
Old Virginia Wassail Cider,"['2 quarts apple cider ', '2 cups orange juice ', '1 (46 fluid ounce) can pineapple juice ', '2 (3 inch) cinnamon sticks ', '1 tablespoon whole cloves ', '½ cup honey ']",https://www.allrecipes.com/recipe/77899/old-virginia-wassail-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F937513.jpg
Hot Spiked Cider,"['1 quart water ', '3  orange spice tea bags ', '½ cup light brown sugar ', '2 cups apple cider ', '1\u2009½ cups light rum ', '8  cinnamon sticks ', '3 teaspoons butter ']",https://www.allrecipes.com/recipe/18942/hot-spiked-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1700738.jpg
Easy Apple Cider,"['1 (64 fluid ounce) bottle apple cider ', '3  cinnamon sticks ', '1 teaspoon whole allspice ', '1 teaspoon whole cloves ', '⅓ cup brown sugar ']",https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F244619.jpg
Hot Apple Cider,"['6 cups apple cider ', '¼ cup real maple syrup ', '2  cinnamon sticks ', '6  whole cloves ', '6  whole allspice berries ', '1  orange peel, cut into strips ', '1  lemon peel, cut into strips ']",https://www.allrecipes.com/recipe/9501/hot-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1061270.jpg
Apple Pie in a Jar Drink,"['1 gallon apple cider ', '1 gallon apple juice ', '6 (3 inch) cinnamon sticks ', '1\u2009½ cups white sugar, or to taste ', '1 (1 liter) bottle 190 proof grain alcohol (such as Everclear™) ']",https://www.allrecipes.com/recipe/165814/apple-pie-in-a-jar-drink/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F162903.jpg
Homemade Apple Cider,"['10  apples, quartered ', '¾ cup white sugar ', '1 tablespoon ground cinnamon ', '1 tablespoon ground allspice ']",https://www.allrecipes.com/recipe/211772/homemade-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1113438.jpg
Hot Spiced Cider,"['¼ cup packed brown sugar ', '½ teaspoon whole allspice ', '1 teaspoon whole cloves ', '1  cinnamon stick ', '¼ teaspoon salt ', '1 pinch ground nutmeg ', '1 large orange, quartered with peel ', '2 quarts apple cider ']",https://www.allrecipes.com/recipe/9423/hot-spiced-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F160584.jpg
Cranberry Wassail,"['½ gallon apple cider ', '½ gallon cranberry juice ', '1 cup lemon juice ', '1\u2009¼ cups pineapple juice ', '1 large orange, thinly sliced ', '24  whole cloves ', '¼ cup clover honey ', '½ cup white sugar ', '4  cinnamon sticks ', '1 teaspoon ground nutmeg ', '1 teaspoon ground allspice ', '½ teaspoon ground ginger ', '12  fresh mint leaves ', '12  orange slices for garnish ']",https://www.allrecipes.com/recipe/153650/cranberry-wassail/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6164407.jpg
