drink_name,recipe,recipe_url,url_of_image
Spicy Michelada,"['1 lime wedge', '1/4 cup salt, for the rim of the glass', '1\xa0light beer\xa0(Mexican beer is best)', '1/4 cup tomato juice', 'Juice of\xa01/2 lime', '3 dashes of\xa0Worcestershire sauce', '2 dashes soy sauce', 'Hot sauce to taste', 'Ground black pepper\xa0to taste']",https://www.thespruceeats.com/michelada-4133998,https://www.thespruceeats.com/thmb/ax97vrRwOBqFrPJKa5V58IOagrE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/michelada_game_day_cocktails-58ef99463df78cd3fc727d67.jpg
Homebrewing Basics: What's the Original Gravity of Beer?,[],https://www.thespruceeats.com/original-gravity-of-beer-353235,https://www.thespruceeats.com/thmb/9Gbbq0J1w3MlvC_TGSzfvPDKArk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-153968638web-58a6c9845f9b58a3c9f816f7.jpg
The History of Pilsner Beer,[],https://www.thespruceeats.com/history-of-pilsner-353306,https://www.thespruceeats.com/thmb/lhJ1I967TXM25XS3BNfu0bf4SOo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/beer-head-58a6ca713df78c345b430786.jpg
Paulaner Salvator Double Bock: The Best of Its Kind,[],https://www.thespruceeats.com/paulaner-salvator-double-bock-review-352933,https://www.thespruceeats.com/thmb/-XPBnVLmP6LefQ_a6164AEQDwr8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/8286778218_9d8157a695_o-58a6c3cd3df78c345b3633c8.jpg
Beergaritas,"['4 cups ice', '1 can frozen concentrated limeade', '3/4 cup tequila', '3/4 cup Mexican light beer', '1 lime', 'Coarse salt']",https://www.thespruceeats.com/beergaritas-4134002,https://www.thespruceeats.com/thmb/fvUjr-ZeaShXTAfjU0PlWDV_7sI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Screen-Shot-2017-03-07-at-1.09.27-PM-58bef7d85f9b58af5c933bb2.png
Raspberry Snakebite Recipe,"['1 ounce raspberry juice', '1/4 ounce lemon juice', '6 ounces vanilla porter', '3 ounces hard apple cider']",https://www.thespruceeats.com/raspberry-snakebite-recipe-4145346,https://www.thespruceeats.com/thmb/6PTpYyplOLloxFFCIeSPKiNZ4UU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/ice-cold-raspberry-flavor-beer-172202671-5964da243df78cdc68c14c8d.jpg
The Definition of 'Krausen' in Beer Brewing,[],https://www.thespruceeats.com/homebrewing-krausen-definition-353255,https://www.thespruceeats.com/thmb/nZLCup_3dP4w3rRd8teIYmF9rCY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-892115380-196b9c72a4c243d99a1193e375e78ec5.jpg
What Is Scotch Ale?,[],https://www.thespruceeats.com/scottish-vs-scotch-ale-352839,https://www.thespruceeats.com/thmb/ZT-iop6je3bdz5cjMAZTO0DL_Uw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/7916191632_f29513ec42_o-58a6c45a3df78c345b36eb75.jpg
What Is Ale Beer?,[],https://www.thespruceeats.com/know-your-ale-styles-352837,https://www.thespruceeats.com/thmb/p2xcX79plVnEYxUDfYlHrCbFIvo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/189362379_96004db8b0_o-58a6c4625f9b58a3c9edd41a.jpg
Is My Beer Vegan-Friendly?,[],https://www.thespruceeats.com/vegan-friendly-beer-353151,https://www.thespruceeats.com/thmb/qmIeYEBvGGQP6_tnx-xpKq9XuP0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/2761657335_62ddeaf7e9_o-58a6c78e5f9b58a3c9f3eac7.jpg
What You Need to Know About Red Stripe Lager,[],https://www.thespruceeats.com/red-stripe-jamaican-lager-review-352989,https://www.thespruceeats.com/thmb/Ar7BLSSZ4VZFS7LpvHEZyUUaMEo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/5567366416_1c8a561323_o-58a6c3ae3df78c345b360bb9.jpg
What Is Lambic Beer?,[],https://www.thespruceeats.com/lambic-beer-profile-352848,https://www.thespruceeats.com/thmb/Btw6zdTtPflqaVXS__r1pmr7Pr0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/85508132-58a6c40d3df78c345b3688a8.jpg
"Beer Adjuncts, Their Role and Brewing Variety",[],https://www.thespruceeats.com/beer-adjuncts-guide-353147,https://www.thespruceeats.com/thmb/l_G5vPE-6JlTHxDcMQPKGi76Tr4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/2957001914_8f33a1c0be_o-58a6c7a43df78c345b3d2cf2.jpg
Shiner Bock Tasting Notes and Review,[],https://www.thespruceeats.com/shiner-bock-review-352958,https://www.thespruceeats.com/thmb/7mCWMYpiqLGG-lwdwQIMN7NiaLk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/5242267228_863a08748c_o-58a6c3b63df78c345b36165e.jpg
When It's Okay to Drink a Beer Before Noon,[],https://www.thespruceeats.com/beer-before-noon-353101,https://www.thespruceeats.com/thmb/Ks3scGdxvdylgOS_N6tEkwmiEEM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-825917018-1de1f9b005ea4056a48f20092d13f32d.jpg
What Is Bottle Conditioned Beer?,[],https://www.thespruceeats.com/bottle-conditioned-beer-353209,https://www.thespruceeats.com/thmb/BRQKMJvzMHM_V6kdXtUK-lURyIM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/4829149472_2840752659_o-58a6c7223df78c345b3c244c.jpg
Pairing Beer and Chocolate,[],https://www.thespruceeats.com/pairing-beer-and-chocolate-353008,https://www.thespruceeats.com/thmb/cDk4oVcToLYliiO1MJysqAddCPA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/200483492-001-58ad76fa3df78c345b845acc.jpg
What Is a Beer Growler?,[],https://www.thespruceeats.com/keeping-growlers-fresh-353253,https://www.thespruceeats.com/thmb/LbHsXt3sLZpzRsbF09hlowydwIg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/growler-rs-58a6cae55f9b58a3c9fb0264.jpg
Brewing Beer With Chili Peppers,[],https://www.thespruceeats.com/brewing-beer-with-chili-peppers-353278,https://www.thespruceeats.com/thmb/-iXzlNJgGW0MJ7TUsc2ZBuo_d7Q=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/225359399_98a38a94c5_o-58a6caa85f9b58a3c9fa7953.jpg
Bacon Me Angry Cocktail,"['3 slices bacon', '375 milliliters vodka', '4 ounces hard cider', '1 ounce vodka', '1 splash maple syrup', '1 dash bitters', 'Brandied cherry', 'Bacon slice']",https://www.thespruceeats.com/bacon-me-angry-cocktail-recipe-759089,https://www.thespruceeats.com/thmb/eaZkNGYgTW9HZdHW08yepT6HmjU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AngryOrchard-BaconMeAngry-Cocktail-56a1753e3df78cf7726ad18f.jpg
The Best Beers for Cold Weather,[],https://www.thespruceeats.com/best-beers-for-cold-weather-353086,https://www.thespruceeats.com/thmb/BVMair5GrbsAFQwKYwIeG_YjdNQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/3963939752_545c1f9acc_o-58ad7a2b3df78c345b84d9e1.jpg
Alcohol by Volume (ABV) in Beer,[],https://www.thespruceeats.com/alcohol-by-volume-353204,https://www.thespruceeats.com/thmb/mGt4QuAXKSTlqiI9aJ3nVCcW77E=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/usa--new-jersey--hand-pouring-beer-545864559-5ab12af331283400379d8787.jpg
Rolling Rock Review: One American Beer's Story,[],https://www.thespruceeats.com/rolling-rock-review-352942,https://www.thespruceeats.com/thmb/I7YjFEvZHVaq6HB826buW1UgOFE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/3692666090_fc8747e38d_o-58a6c3c83df78c345b362dd1.jpg
Michelada: A Mexican Beer Cocktail,"['1/4 cup coarse salt (for the rim)', '1 cup ice cubes (or coarsely crushed ice)', '1/4 cup fresh-squeezed lime juice', '1 to 2 dashes bottled hot chili sauce (such as Tabasco, Tapatio, or Cholula)', '1 to 2 dashes soy sauce', '1 to 2 dashes Worcestershire sauce', '1 bottle beer (cold, preferably a dark Mexican beer)', 'Garnish: 1 lime wedge']",https://www.thespruceeats.com/michelada-mexican-beer-cocktail-2342595,https://www.thespruceeats.com/thmb/eNY-PokIDI2lMl-PfYUtKx5e5MM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Getty-Michelada-5825e9f65f9b58d5b1ff4354.jpg
What Is Pumpkin Beer?,[],https://www.thespruceeats.com/what-is-pumpkin-beer-5082120,https://www.thespruceeats.com/thmb/bVkeTaFIZCylzDz8AfYFfbGG32Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/what-is-pumpkin-beer-5082120-009-d0ad056da58e49d6b380240e53f971e6.jpg
How to Throw an Oktoberfest Celebration at Home,[],https://www.thespruceeats.com/how-to-throw-an-oktoberfest-celebration-at-home-5078539,https://www.thespruceeats.com/thmb/NGY8qNeKGqTxTQ7GHWwkS4nxmlg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-12727626311-f44c781bbde344798dda514ce88fafa4.jpg
The 10 Best Light Beers to Drink in 2021,[],https://www.thespruceeats.com/best-light-beers-4770122,//:0
An Introduction to Cooking With Beer & Recipes!,[],https://www.thespruceeats.com/cooking-with-beer-353162,https://www.thespruceeats.com/thmb/KOR3m1vcetwaHwuB0DviPjh-5I0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/175446812-58a6c7715f9b58a3c9f3b139.jpg
What Did Ben Franklin Say About Beer?,[],https://www.thespruceeats.com/beer-is-proof-that-god-loves-us-and-wants-us-to-be-happy-353267,https://www.thespruceeats.com/thmb/yKy21Nw9VxPd9om0Z9KEAqtJlhA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-153968638-59641a483df78cdc68c063c8.jpg
Jack Daniel's Winter Jack Tennessee Cider Review,[],https://www.thespruceeats.com/jack-daniels-winter-jack-review-759231,https://www.thespruceeats.com/thmb/Lb2mQ-QoYGJspgtJxeo1H0MZ8aI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/JackDaniels-WinterJack-TennesseeCider-565dddad3df78c6ddf83c997.jpg
